,GR1,SA6,SA5,SA4,SA3,SA2,SA1,SI2,SI1,CL2,CL1,LL,PL,LI,MC,DENSITY,VOID_RATIO,SOIL_GROUP,MEANSHIFT_PRED,MEANSHIFT_GROUP
0,0.0,0.0,0.0,0.0,0.0,0.5,1.2,50.8,20.8,8.1,18.6,49.4,30.3,1.3560209424083771,56.2,1.62,1.577,ML,5,MH
1,0.0,0.0,0.0,0.0,0.6,1.4,2.8,35.9,23.9,8.5,26.9,65.8,35.6,1.1026490066225167,68.9,1.56,1.902,MH,5,MH
2,0.0,0.0,0.0,0.0,1.2,2.8,2.8,16.8,21.8,12.4,42.2,89.1,44.0,0.8048780487804879,80.3,1.52,2.179,MH,0,MH
3,0.0,0.0,0.0,0.0,0.0,1.2,2.4,26.5,23.3,9.2,37.4,81.0,40.9,0.970074812967581,79.8,1.5,2.217,MH,0,MH
4,0.0,0.0,0.0,0.0,0.6,2.9,0.9,15.1,25.0,13.5,42.0,83.4,41.9,0.9204819277108431,80.1,1.5,2.229,MH,0,MH
5,0.0,0.0,1.1,7.7,35.5,21.2,2.6,7.6,4.9,4.8,14.6,30.7,20.1,0.8656901688182715,26.7,1.94,0.758,SC,2,SM
6,0.0,0.0,0.0,0.0,0.0,0.0,1.1,16.7,25.0,11.4,45.8,85.3,44.4,0.6185819070904647,69.7,1.54,1.945,MH,0,MH
7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,11.7,26.9,13.1,48.0,81.5,41.5,0.6725,68.4,1.55,1.913,MH,0,MH
8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,12.8,25.7,13.4,47.5,80.5,43.1,0.663101604278075,67.9,1.56,1.882,MH,0,MH
9,0.0,0.0,0.0,0.0,0.0,0.6,0.6,13.3,29.3,12.8,43.4,77.7,41.6,0.6675900277008311,65.7,1.59,1.792,MH,0,MH
10,0.0,0.0,0.0,0.0,0.0,0.0,0.3,16.1,27.2,15.2,41.2,78.7,45.0,0.6468842729970326,66.8,1.57,1.851,MH,0,MH
11,0.0,0.0,0.0,0.0,0.0,0.0,0.9,18.6,28.2,10.9,41.4,77.4,45.9,0.6984126984126985,67.9,1.55,1.913,MH,0,MH
12,0.0,0.0,0.0,0.0,0.0,0.6,1.1,19.0,28.1,13.2,38.0,70.5,41.1,0.663265306122449,60.6,1.61,1.67,MH,0,MH
13,31.1,11.1,9.2,9.8,7.1,6.5,2.0,6.9,4.9,3.3,8.1,0.0,0.0,0.0,15.0,2.17,0.418,(SM)g,4,(SM)g
14,0.6,3.5,18.6,24.4,22.7,10.0,1.8,6.2,3.6,3.3,5.3,0.0,0.0,0.0,16.3,2.1,0.475,SM,4,(SM)g
15,0.0,0.0,0.0,0.0,0.0,0.0,0.3,11.3,28.5,13.5,46.4,79.1,41.3,1.0608465608465611,81.4,1.48,2.293,MH,0,MH
16,0.0,0.0,0.0,0.0,0.0,1.3,1.9,19.5,26.2,12.0,39.1,83.9,39.5,1.1554054054054053,90.8,1.45,2.5,MH,0,MH
17,0.0,0.0,0.0,0.0,0.0,0.9,1.7,23.5,22.9,11.4,39.6,78.8,39.3,1.0303797468354432,80.0,1.5,2.217,MH,0,MH
18,0.0,0.0,0.0,0.0,0.0,0.0,0.6,21.7,24.2,13.0,40.5,87.7,43.3,0.9324324324324325,84.7,1.47,2.338,MH,0,MH
19,0.0,0.0,1.8,3.4,7.9,22.1,5.1,12.0,12.7,7.7,27.3,52.8,27.7,0.964092995108175,49.2,1.69,1.372,s(CH),5,MH
20,0.0,0.3,0.8,9.5,49.0,25.4,2.2,3.0,2.6,2.4,4.8,0.0,0.0,0.0,27.8,1.89,0.804,SM,2,SM
21,0.0,0.0,0.0,0.0,0.0,0.6,0.9,10.1,24.0,16.4,48.0,81.4,43.0,0.7057291666666664,70.1,1.54,1.956,MH,0,MH
22,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.0,28.9,15.0,43.8,80.2,41.5,0.7235142118863048,69.5,1.56,1.913,MH,0,MH
23,0.0,0.0,0.0,0.0,0.0,0.0,0.3,13.5,24.3,15.9,46.0,74.6,40.4,0.6608187134502925,63.0,1.58,1.773,MH,0,MH
24,0.0,0.0,0.0,0.0,0.0,0.0,0.7,9.9,25.3,14.3,49.8,77.5,39.2,0.6945169712793733,65.8,1.55,1.892,MH,0,MH
25,0.0,0.0,0.0,0.0,0.0,0.6,1.4,18.3,27.6,12.7,39.4,73.7,43.4,0.6666666666666666,63.6,1.55,1.821,MH,0,MH
26,0.0,0.0,0.0,0.5,0.7,15.6,18.9,29.1,9.6,5.9,19.7,41.4,25.2,0.6406104597059368,35.4,1.8,1.023,s(CL),3,s(CL)
27,0.0,0.0,3.9,5.9,33.7,34.0,3.9,6.5,4.8,2.6,4.7,0.0,0.0,0.0,18.1,2.05,0.534,SM,2,SM
28,0.0,0.0,0.0,0.0,0.7,1.2,1.4,22.4,27.2,12.5,34.6,58.1,27.8,-0.16501650165016502,22.8,2.01,0.665,CH,6,CH
29,0.0,0.0,0.0,0.5,0.9,4.1,4.6,30.2,21.5,6.9,31.3,51.9,26.6,0.12842870478876575,29.7,1.92,0.838,CH,6,CH
30,0.0,0.0,0.0,0.0,0.0,0.4,3.5,64.0,15.1,4.0,13.0,44.4,33.5,0.7247706422018348,41.4,1.77,1.136,ML,3,s(CL)
31,0.0,0.0,0.0,0.3,0.3,1.2,3.0,24.1,19.6,12.1,39.4,76.6,37.0,1.0311490025632453,77.6,1.51,2.141,MH,0,MH
32,0.0,0.0,0.0,0.0,0.0,0.6,1.8,22.8,21.6,10.1,43.1,74.2,39.2,1.0457142857142856,75.8,1.52,2.105,MH,0,MH
33,0.0,0.0,0.0,0.0,0.0,0.0,0.3,13.6,30.6,14.8,40.7,89.0,43.8,0.9491150442477877,86.7,1.48,2.367,MH,0,MH
34,0.0,0.0,0.9,0.9,1.7,8.6,4.9,20.7,19.2,9.6,33.5,90.0,43.9,0.7773369678066367,78.3,1.5,2.179,(MH)s,0,MH
35,0.0,0.0,0.0,0.9,2.6,6.0,2.3,16.4,17.0,14.2,40.6,81.9,42.1,0.8006455080650476,73.3,1.53,2.045,MH,0,MH
36,0.0,0.0,0.0,0.0,0.0,0.0,0.6,13.3,25.6,15.7,44.8,83.8,41.6,0.6658767772511849,69.7,1.56,1.913,MH,0,MH
37,0.0,0.0,0.0,0.0,0.0,0.0,0.3,9.7,25.5,12.9,51.6,83.1,42.7,0.7004950495049506,71.0,1.54,1.989,MH,0,MH
38,0.0,0.0,0.0,0.0,0.0,0.0,0.9,13.0,22.9,17.2,46.0,81.6,40.6,0.6829268292682926,68.6,1.55,1.913,MH,0,MH
39,0.0,0.0,0.0,0.0,0.0,0.9,0.6,14.6,21.2,13.2,49.5,80.9,41.4,0.6202531645569621,65.9,1.56,1.862,MH,0,MH
40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.5,26.5,17.2,40.8,82.8,45.3,0.6640000000000001,70.2,1.55,1.934,MH,0,MH
41,0.0,0.0,0.0,0.0,0.0,0.8,1.3,20.7,24.5,11.2,41.5,79.5,41.5,0.6026315789473685,64.4,1.6,1.753,MH,0,MH
42,0.0,0.0,0.0,0.9,1.3,20.5,18.0,28.4,8.0,4.4,18.5,36.0,23.0,0.6370410618644724,31.0,1.86,0.894,s(CL),3,s(CL)
43,0.0,0.0,0.0,0.4,0.2,8.4,5.3,27.0,16.0,7.3,35.4,50.3,26.6,-0.40218256994221613,17.0,2.14,0.492,CH,6,CH
44,0.0,0.0,0.0,0.0,0.5,0.7,2.2,30.4,24.7,9.8,31.7,51.5,25.0,0.07547169811320754,27.0,1.96,0.773,CH,6,CH
45,0.0,0.0,3.2,19.0,29.3,26.6,3.1,7.3,4.5,2.7,4.3,0.0,0.0,0.0,19.0,2.06,0.543,SM,1,SM
46,0.0,0.0,1.2,28.2,14.8,10.8,4.3,17.7,9.7,4.6,8.7,0.0,0.0,0.0,18.8,2.08,0.531,SM,1,SM
47,0.3,4.1,21.7,28.5,24.1,8.0,1.6,4.1,3.4,1.6,2.6,0.0,0.0,0.0,16.1,2.11,0.467,SP-SM,4,(SM)g
48,0.0,0.0,0.0,0.8,0.3,2.9,9.5,55.8,12.7,4.0,14.0,43.6,33.8,0.7272876892692562,40.6,1.75,1.161,ML,3,s(CL)
49,0.0,0.0,0.0,0.0,0.0,2.0,3.6,31.8,16.4,10.5,35.7,71.9,37.2,0.9711815561959655,70.9,1.53,1.967,MH,0,MH
50,0.0,0.0,0.0,0.0,0.0,1.1,2.3,24.9,24.7,11.7,35.3,77.4,37.6,0.907035175879397,73.7,1.52,2.034,MH,0,MH
51,0.0,0.0,0.0,0.0,0.9,0.9,1.7,20.3,24.3,11.9,40.0,90.3,42.0,0.9730848861283644,89.0,1.48,2.436,MH,0,MH
52,0.0,0.0,0.0,0.0,0.8,4.2,3.1,18.6,18.2,9.8,45.3,72.6,36.6,0.9805555555555558,71.9,1.54,1.989,MH,0,MH
53,0.0,0.0,0.0,0.0,0.0,0.6,0.6,13.8,24.4,14.5,46.1,86.7,43.7,0.8046511627906976,78.3,1.52,2.153,MH,0,MH
54,0.0,0.0,0.0,0.0,0.0,0.0,0.3,11.3,26.2,13.1,49.1,84.9,40.6,0.7765237020316026,75.0,1.53,2.057,MH,0,MH
55,0.0,0.0,0.0,0.0,0.0,0.0,0.3,13.4,24.3,13.2,48.8,85.1,41.8,0.655889145496536,70.2,1.55,1.954,MH,0,MH
56,0.0,0.0,0.0,0.0,0.0,0.0,0.3,17.9,29.7,15.5,36.6,82.1,43.5,0.7124352331606219,71.0,1.54,1.967,MH,0,MH
57,0.0,0.0,0.0,0.0,0.0,0.0,0.3,18.5,23.3,13.4,44.5,84.8,45.1,0.6146095717884131,69.5,1.56,1.913,MH,0,MH
58,0.0,0.0,0.0,0.0,0.0,0.8,1.1,19.3,23.3,11.4,44.1,82.0,46.3,0.6666666666666665,70.1,1.55,1.945,MH,0,MH
59,0.0,0.0,2.5,5.8,17.3,31.6,9.4,15.2,6.1,4.2,7.9,0.0,0.0,0.0,23.9,1.98,0.675,SM,2,SM
60,0.0,0.0,0.0,0.9,17.6,60.3,2.9,6.0,4.9,2.8,4.6,0.0,0.0,0.0,17.5,2.08,0.508,SM,2,SM
61,0.0,0.0,0.0,1.8,23.2,54.2,3.9,5.7,3.7,2.3,5.2,0.0,0.0,0.0,19.0,2.08,0.526,SM,2,SM
62,0.0,0.0,0.0,0.0,0.0,0.0,0.5,15.4,37.6,16.8,29.7,52.6,26.9,-0.09727626459143968,24.4,2.01,0.691,CH,6,CH
63,0.0,0.0,0.0,0.0,0.4,1.3,2.8,31.9,25.1,9.6,28.9,51.3,26.2,0.17131474103585662,30.5,1.88,0.84,CH,6,CH
64,0.0,1.1,4.3,27.5,27.8,16.7,3.2,4.6,5.4,4.0,5.4,0.0,0.0,0.0,16.2,2.1,0.475,SM,1,SM
65,0.0,0.0,2.4,33.2,33.0,10.4,1.9,5.5,5.1,2.8,5.7,0.0,0.0,0.0,15.8,2.12,0.459,SM,1,SM
66,0.0,0.0,0.0,0.0,0.0,0.7,2.2,54.8,17.3,7.2,17.8,47.2,28.4,1.127659574468085,49.6,1.68,1.393,ML,5,MH
67,0.0,0.0,0.0,0.0,0.0,1.8,5.2,35.1,17.1,5.9,34.9,66.9,34.1,1.076219512195122,69.4,1.52,1.967,MH,5,MH
68,0.0,0.0,0.0,0.0,0.0,0.9,1.2,22.5,24.4,11.1,39.9,79.5,39.2,1.0272952853598014,80.6,1.5,2.229,MH,0,MH
69,0.0,0.0,0.0,0.0,0.7,1.0,1.4,18.9,24.7,13.1,40.2,82.0,39.6,1.080188679245283,85.4,1.47,2.392,MH,0,MH
70,0.0,0.0,0.0,0.0,0.7,5.9,4.9,16.7,20.5,12.6,38.7,81.0,41.0,0.9075,77.3,1.51,2.141,MH,0,MH
71,0.0,0.0,0.0,0.0,0.0,0.9,0.9,13.1,28.8,11.5,44.8,78.2,39.3,0.9177377892030848,75.0,1.5,2.116,MH,0,MH
72,0.0,0.0,0.0,0.0,0.0,0.0,0.3,11.4,20.7,17.0,50.6,77.7,41.7,0.8888888888888888,73.7,1.52,2.045,MH,0,MH
73,0.0,0.0,0.0,0.0,0.0,0.0,0.6,12.1,24.9,13.1,49.3,81.1,40.1,0.7414634146341464,70.5,1.53,1.978,MH,0,MH
74,0.0,0.0,0.0,0.0,0.0,0.0,0.3,14.5,29.3,14.1,41.8,85.0,45.9,0.6956521739130433,73.1,1.51,2.08,MH,0,MH
75,0.0,0.0,0.0,0.0,0.0,0.0,0.3,13.6,30.0,13.2,42.9,77.9,43.3,0.7167630057803466,68.1,1.57,1.882,MH,0,MH
76,0.0,0.0,0.3,1.0,5.1,43.9,12.3,18.9,6.4,5.1,7.0,0.0,0.0,0.0,23.0,2.01,0.644,SM,2,SM
77,0.0,0.8,0.7,0.3,1.4,35.9,7.3,22.5,10.0,3.1,18.0,34.4,20.8,0.649514795734995,29.1,1.91,0.818,s(CL),3,s(CL)
78,0.0,0.0,1.0,0.7,2.3,35.7,7.6,19.0,9.4,6.1,18.2,33.6,19.0,0.6287016262768432,27.7,1.94,0.77,s(CL),6,CH
79,0.0,0.0,0.0,0.0,0.0,0.5,1.2,23.9,25.8,12.7,35.9,56.2,26.2,-0.09,23.5,2.04,0.661,CH,6,CH
80,0.0,0.0,0.0,0.0,0.0,0.8,1.0,17.4,34.1,13.6,33.1,54.2,28.0,-0.1106870229007633,25.1,2.01,0.702,CH,6,CH
81,0.0,0.0,0.0,0.0,0.6,2.5,12.8,58.6,9.6,3.2,12.7,42.2,33.0,0.7391304347826082,39.8,1.78,1.102,(ML)s,3,s(CL)
82,0.0,0.0,0.0,0.0,0.6,4.7,4.3,18.2,18.3,9.4,44.5,89.6,46.7,0.9533799533799534,87.6,1.49,2.38,MH,0,MH
83,0.0,0.0,0.0,0.0,0.0,0.9,2.3,30.4,21.8,10.3,34.3,69.6,37.8,1.0345911949685538,70.7,1.52,2.0,MH,0,MH
84,0.0,0.0,0.0,0.3,0.3,4.0,1.5,13.7,24.0,14.9,41.3,86.4,46.3,0.9564579023854611,84.4,1.49,2.296,MH,0,MH
85,0.0,0.0,0.0,1.2,2.7,9.6,7.2,16.9,19.9,11.2,31.3,66.6,34.1,0.8504889442541265,61.0,1.61,1.68,(MH)s,0,MH
86,0.0,0.0,0.0,0.0,0.0,0.8,1.1,11.4,23.8,17.8,45.1,81.4,42.5,0.8020565552699228,73.7,1.52,2.045,MH,0,MH
87,0.0,0.0,0.0,0.0,0.0,0.0,0.6,17.0,28.4,14.6,39.4,83.5,44.8,0.6485788113695092,69.9,1.54,1.934,MH,0,MH
88,0.0,0.0,0.0,0.0,0.0,0.5,1.1,29.4,24.8,12.0,32.2,77.6,38.4,0.5306122448979593,59.2,1.61,1.644,MH,0,MH
89,0.0,0.0,0.0,0.0,0.0,0.0,0.3,20.3,26.1,13.0,40.3,81.3,42.8,0.6935064935064936,69.5,1.55,1.945,MH,0,MH
90,0.0,0.0,0.0,0.0,0.0,0.0,0.6,11.2,30.5,14.4,43.3,86.1,46.5,0.5984848484848486,70.2,1.51,2.011,MH,0,MH
91,0.0,0.9,0.2,1.5,23.0,43.0,7.4,10.9,3.5,3.1,6.5,0.0,0.0,0.0,22.9,1.99,0.648,SM,2,SM
92,0.0,0.9,8.1,22.4,27.2,22.2,2.8,4.7,5.1,2.8,3.8,0.0,0.0,0.0,15.4,2.12,0.451,SM,1,SM
93,1.2,0.3,1.7,2.7,27.7,44.5,3.9,6.0,5.0,2.4,4.6,0.0,0.0,0.0,16.2,2.11,0.467,SM,2,SM
94,0.0,1.1,10.4,36.5,19.1,15.8,1.9,3.5,4.0,3.4,4.3,0.0,0.0,0.0,15.1,2.15,0.428,SM,1,SM
95,0.0,0.0,4.0,31.6,39.0,7.1,1.9,5.6,4.4,2.6,3.8,0.0,0.0,0.0,14.3,2.18,0.398,SM,1,SM
